name,url,uname,followers,image_path
Jake Owen,http://twitter.com/jakeowen,jakeowen,2181826,images/jakeowen.jpg
Moby,http://www.twitter.com/thelittleidiot,thelittleidiot,1173771,images/thelittleidiot.jpg
Paul Oakenfold,http://twitter.com/pauloakenfold,pauloakenfold,237954,images/pauloakenfold.jpg
Blake Lewis,http://twitter.com/blakeLewis,blakeLewis,35216,images/blakeLewis.jpg
BT,http://twitter.com/bt,bt,630754,images/bt.jpg
Samantha Ronson,http://www.twitter.com/Samantharonson,Samantharonson,1230995,images/Samantharonson.jpg
Sean Kingston,http://twitter.com/SEANKINGSTON,SEANKINGSTON,3026610,images/SEANKINGSTON.jpg
Russell Simmons,http://twitter.com/UnCLERush,UnCLERush,4585954,images/UnCLERush.jpg
Quincy Jones,http://twitter.com/quincydjones,quincydjones,556822,images/quincydjones.jpg
Cristiano Ronaldo,http://twitter.com/Cristiano,Cristiano,85710458,images/Cristiano.jpg
Kelly Slater,http://twitter.com/kellyslater,kellyslater,915402,images/kellyslater.jpg
Ryan Sheckler,http://twitter.com/RyanSheckler,RyanSheckler,2888615,images/RyanSheckler.jpg
Tony Hawk,http://www.twitter.com/tonyhawk,tonyhawk,4325804,images/tonyhawk.jpg
Rob Dyrdek,http://twitter.com/robDyrdek,robDyrdek,3243174,images/robDyrdek.jpg
Terrel Owens,http://twitter.com/terrellowens,terrellowens,1424515,images/terrellowens.jpg
Reggie Bush,http://www.twitter.com/ReggieBush,ReggieBush,2785161,images/ReggieBush.jpg
Chad Johnson,http://twitter.com/ochocinco,ochocinco,3279662,images/ochocinco.jpg
Nick Swisher,http://twitter.com/NickSwisher,NickSwisher,1479081,images/NickSwisher.jpg
Lamar Odom,http://www.twitter.com/ReaLLamarOdom,ReaLLamarOdom,3827657,images/ReaLLamarOdom.jpg
Shaquille O'Neal,http://www.twitter.com/SHAQ,SHAQ,15305691,images/SHAQ.jpg
Steve Nash,http://twitter.com/SteveNash,SteveNash,2646628,images/SteveNash.jpg
Paul Pierce,http://twitter.com/paulpierce34,paulpierce34,4170411,images/paulpierce34.jpg
King James,http://twitter.com/KingJames,KingJames,46520863,images/KingJames.jpg
Kasey Kahne,http://twitter.com/KASEYKAHNE,KASEYKAHNE,964326,images/KASEYKAHNE.jpg
Kyle Busch,http://twitter.com/KyleBusch,KyleBusch,928510,images/KyleBusch.jpg
Brian Vickers,http://twitter.com/BrianLVickers,BrianLVickers,173655,images/BrianLVickers.jpg
Robby Gordon,http://twitter.com/RobbyGordon,RobbyGordon,113805,images/RobbyGordon.jpeg
Danica Patrick,http://twitter.com/danicapatrick,danicapatrick,1798480,images/danicapatrick.jpg
John Cena,http://www.twitter.com/JohnCena,JohnCena,12425492,images/JohnCena.jpg
Matt Hardy,http://twitter.com/matthardybrand,matthardybrand,1461135,images/matthardybrand.jpg
Jillian Hall,http://www.twitter.com/jillianhall1,jillianhall1,195361,images/jillianhall1.jpg
Justin Roberts,http://twitter.com/announcerjustin,announcerjustin,268,images/announcerjustin.jpg
Kelly Kelly,http://twitter.com/TheBarbieBlank,TheBarbieBlank,704914,images/TheBarbieBlank.jpg
Layla El,http://twitter.com/mslayel,mslayel,913035,images/mslayel.jpg
Shannon Moore,http://twitter.com/Theshannonbrand,Theshannonbrand,141854,images/Theshannonbrand.jpg
Torrie Wilson,http://twitter.com/torrie11,torrie11,561953,images/torrie11.jpg
Serena Williams,http://www.twitter.com/serenawilliams,serenawilliams,10827118,images/serenawilliams.jpg
Andy Murray,http://twitter.com/andy_murray,andy_murray,3556450,images/andy_murray.jpg
Natalie Gulbis,http://www.twitter.com/natalie_gulbis,natalie_gulbis,270223,images/natalie_gulbis.png
Michael Phelps,http://twitter.com/MichaelPhelps,MichaelPhelps,2059420,images/MichaelPhelps.jpg
Nastia Liukin,http://www.twitter.com/NastiaLiukin,NastiaLiukin,378049,images/NastiaLiukin.jpg
Shawn Johnson,http://twitter.com/ShawnJohnson,ShawnJohnson,455306,images/ShawnJohnson.jpg
Shaun White,http://www.twitter.com/Shaun_White,Shaun_White,96,images/Shaun_White.jpeg
Lance Armstrong,http://twitter.com/lancearmstrong,lancearmstrong,3285828,images/lancearmstrong.jpg
